"Model Class","Model Attribute","Model Type","Model Multiplicity","Model Definition","NIEM XPath","NIEM Type","NIEM Property, ^Reference, (Representation)","NIEM Base Type","NIEM Multiplicity","Old XPath","Old Multiplicity","NIEM Mapping Notes","Code List Code=Definition;"
"AttachmentMetadata","","","","Information describing an attachment included within a message.  An attachment can be a binary file representing the document to be filed, an XML document, a digital signature, or other MIME file.","nc:Document/ecf:DocumentAugmentation/ecf:DocumentRendition/nc:Attachment","nc:BinaryType","","structures:ObjectType","","ecf:Document/ecf:DocumentRendition/ecf:DocumentRenditionMetadata/ecf:DocumentAttachment","0,unbounded","",""
"AttachmentMetadata","attachmentID","id","","A unique identifier (such as a URI) for the attachment in the message stream.  (For the Web Services profile, this will be the value of the MIME Content-Id header.) Can contain a URL if the attachment is remote, if allowed by court policy.","nc:Document/ecf:DocumentAugmentation/ecf:DocumentRendition/nc:Attachment/nc:BinaryURI","nc:BinaryType","nc:BinaryURI","niem-xs:anyURI","0,1","ecf:Document/ecf:DocumentRendition/ecf:DocumentRenditionMetadata/ecf:DocumentAttachment/nc:BinaryLocationURI","0,1","",""
"AttachmentMetadata","attachmentSequenceNumber","int","","A numeric sequence number used for splitting documents across multiple parts.","nc:Document/ecf:DocumentAugmentation/ecf:DocumentRendition/nc:Attachment/nc:BinaryID","nc:BinaryType","nc:BinaryID","niem-xs:string","0,1","ecf:Document/ecf:DocumentRendition/ecf:DocumentRenditionMetadata/ecf:DocumentAttachment/nc:AttachmentSequenceID","0,1","",""
"Attorney","","","","A legal representative to a party in a case.","nc:Case/j:CaseAugmentation/j:CaseOfficial","j:JudicialOfficialType","","structures:ObjectType","","nc:Case/j:CaseAugmentation/j:CaseOfficial","","",""
"Attorney","barNumber","string","","An identifier assigned to an attorney by the bar association.","nc:Case/j:CaseAugmentation/j:CaseOfficial/j:JudicialOfficialBarMembership/j:JudicialOfficialBarIdentification","j:JudicialOfficialBarMembershipType","j:JudicialOfficialBarIdentification","nc:IdentificationType","0,1","nc:Case/j:CaseAugmentation/j:CaseOfficial/j:JudicialOfficialBarMembership/j:judicialOfficialBarMembershipIdentification","0,1","",""
"Attorney","barMembership","extension","0..1","A membership in an attorney association.","nc:Case/j:CaseAugmentation/j:CaseOfficial/j:JudicialOfficialBarMembership","j:JudicialOfficialType","j:JudicialOfficialBarMembership","j:JudicialOfficialBarMembershipType","0,1","nc:Case/j:CaseAugmentation/j:CaseOfficial/j:JudicialOfficialBarMembership","0,1","",""
"BankruptcyCaseInformation","","","","Additional information specific to bankruptcy cases.","bankruptcy:CaseAugmentation","nc:CaseType","nc:CaseAugmentationPoint, (^bankruptcy:CaseAugmentation)","bankruptcy:CaseAugmentationType","1,unbounded","bankruptcy:BankruptcyCase","","",""
"BankruptcyCaseInformation","assetNotice","bool","","Whether assets are available for distribution to creditors.","bankruptcy:CaseAugmentation","bankruptcy:CaseAugmentationType","xs:any","","1,1","bankrupcty:BankruptcyCase/bankrupcty:AssetNoticeIndicator","1,1","Include NIEM 2.0 bankruptcy forms as defined at http://www.pacer.gov/documents/CaseOpening/BankruptcyFilingForms.zip",""
"BankruptcyCaseInformation","bankruptcyStatute (<directional aggregation>)","",""," Section 11 of the United States Code pertaining to bankruptcy. ","","","","","","bankrupcty:BankruptcyCase/bankruptcy:BankruptcyStatute","1,1","",""
"BankruptcyCaseInformation","debtor (<directional aggregation>)","","1..2","The person or organization on whose behalf, or against whom, a bankruptcy petition is filed.","","","","","","bankrupcty:BankruptcyCase/bankruptcy:Debtor","1,2","",""
"BankruptcyCaseInformation","debtorTypeCode","code","","""Form of Origin"" indicator...one of seven code values from the Bankruptcy Petition Form.","","","","","","bankrupcty:BankruptcyCase/bankrupcty:CaseDebtorTypeCode","1,1","",""
"BankruptcyCaseInformation","estimatedAssetsValueLevelCode","code","","A coded set of ranges of dollar values for assets.  Generally used for statistical reporting, not case management.","","","","","","bankrupcty:BankruptcyCase/bankrupcty:EstimatedAssetsValueLevelCode","1,1","",""
"BankruptcyCaseInformation","estimatedDebtsValueLevelCode","code","","A coded set of ranges of dollar values for debts.  Generally used for statistical reporting, not case management.","","","","","","bankrupcty:BankruptcyCase/bankrupcty:EstimatedDebtsValueLevelCode","1,1","",""
"BankruptcyCaseInformation","jointPetitionIndicator","bool","","Whether or not spouses are filing as joint debtors","","","","","","bankrupcty:BankruptcyCase/bankrupcty:JointPetitionIndicator","1,1","",""
"BankruptcyCaseInformation","natureOfDebtCode","code","","Whether the debts involved in the case are ""business"" or ""consumer"".","","","","","","bankrupcty:BankruptcyCase/bankrupcty:CaseNatureOfDebtCode","1,1","",""
"BankruptcyCaseInformation","numberOfCreditorsValueLevelCode","code","","A coded set of ranges of numbers of creditors involved in the case.","","","","","","bankrupcty:ankruptcyCase/bankrupcty:NumberOfCreditorsValueLevelCode","1,1","",""
"BankruptcyCaseInformation","section1121e","bool","","The debtor has elected to proceed under Section 1121 (e) of the bankruptcy code.","","","","","","bankrupcty:BankruptcyCase/bankrupcty:ection1121eIndicator","1,1","",""
"BankruptcyCaseInformation","smallBusiness","bool","","Whether the initiating party is a small business, as defined in bankruptcy code.","","","","","","bankrupcty:BankruptcyCase/bankrupcty:SmallBusinessIndicator","1,1","",""
"BankruptcyCaseInformation","voluntaryIndicator","bool","","Whether the debtor has initiated bankruptcy (true, corresponding to Federal code ""V"") or a creditor has initiated bankruptcy (false, corresponding to Federal code ""I"")","","","","","","bankrupcty:BankruptcyCase/bankrupcty:VoluntaryIndicator","1,1","",""
"BankruptcyStatute","","","","Section 11 of the United States Code pertaining to bankruptcy.","nc:Case/j:CaseAugmentation/j:Charge/j:ChargeStatute","","","","","criminal:CriminalCase/criminal:CaseCharge/j:ChargeStatute","","",""
"BankruptcyStatute","chapterIDCode","id","","The chapter of the bankruptcy code under which the debtor has chosen to proceed.","nc:Case/j:CaseAugmentation/j:Charge/j:ChargeStatute","","","","","criminal:CriminalCase/criminal:CaseCharge/j:ChargeStatute/j:StatuteCodeSectionIdentification","0,1","",""
"BaseMessage","","","","The core information contained in an ECF 5.0 message.","ecf:CaseFiling","ecf:CaseFilingType","","nc:DocumentType","","ecf:CaseFiling","","",""
"BaseMessage","court (<directional aggregation>)","","1","The specific entity within the judicial branch of government in which a case or document is to be filed.","ecf:CaseFiling","ecf:CaseFilingType","j:CaseCourt","j:CourtType","1,1","","1,1","",""
"BaseMessage","receivedTime","dateTime","","The time an MDE received a Message, on the clock of the MDE, expressed in terms of a 24 hour clock. This time should be no earlier than the ReviewFilingMessage.submissionTime.","ecf:CaseFiling/nc:DocumentReceivedDate","nc:DocumentType","nc:DocumentReceivedDate","nc:DateType","0,1","nc:Document/nc:DocumentReceivedDate","0,1","",""
"BaseMessage","sendingMDELocationID","id","","Location for the MDE to which asynchronous and service messages can be sent. This unique location is self-assigned by the MDE.","ecf:CaseFiling/ecf:SendingMDELocationID","ecf:CaseFilingType","ecf:SendingMDELocationID","nc:IdentificationType","1,1","ecf:CaseFiling/ecf:SendingMDELocationID, ecf:QueryMessage/ecf:SendingMDELocationID, ecf:QueryResponseMessage/ecf:SendingMDELocationID","1,1","",""
"BaseMessage","sendingMDEProfileCode","code","","Code identifying the service interaction profile being used by the sending filing assembly MDE.  This list should be extensible to accommodate future service interaction profiles. Each code value is specified within the service interaction profile approved for use with ECF.","ecf:CaseFiling/ecf:SendingMDEProfileCode","ecf:CaseFilingType","ecf:ServiceInteractionProfileCode","niem-xs:normalizedString","1,1","ecf:CaseFiling/ecf:SendingMDEProfileCode, ecf:QueryMessage/ecf:SendingMDEProfileCode, ecf:QueryResponseMessage/ecf:SendingMDEProfileCode","1,1","",""
"BaseMessage","submissionTime","dateTime","","The time that the message left the control of the sending MDE. In a filing this is the Filing Assembly MDE.","ecf:CaseFiling/nc:DocumentPostDate","ecf:CaseFilingType","nc:DocumentPostDate","nc:DateType","1,1","nc:Document/nc:DocumentPostDate","0,1","",""
"BaseMessage","submitterID","id","","A unique identifier assigned by the filing assembly MDE for the person who is managing the interface between the filer and the filing assembly MDE. This person will receive secondary service on behalf of the filer. This is also the serviceRecipientID for subsequent filings in this case, and asynchronous responses to this filing.","ecf:CaseFiling/nc:DocumentSubmitter/nc:EntityRepresentation","nc:DocumentType","nc:DocumentSubmitter","nc:EntityType","0,1","ecf:CaseFiling/nc:DocumentSubmitter/nc:EntityPerson/nc:PersonOtherIdentification, nc:EntityOrganization/nc:OrganizationOtherIdentification","0,1","",""
"Biometric","","","","Biometric information associated with a defendant.","","","","","","","","",""
"Biometric","dnaLocusValue","string","*","A value for a DNA locus.","criminal:CaseAugmentation/j:Arrest/j:ArrestSubject/ecf:SubjectAugmentation/biom:Biometric/biom:DNASample/biom:DNASTRProfile/biom:DNAAlleleCall1Text","biom:DNASTRProfileType","biom:DNAAlleleCall1Text","nc:IdentificationType","1,2","nc:Person/nc:PersonDNA/nc:DNALocus/nc:DNALocusValue","1,2","",""
"Biometric","dnaLocusCategory","string","*","A location within DNA.","criminal:CaseAugmentation/j:Arrest/j:ArrestSubject/ecf:SubjectAugmentation/biom:Biometric/biom:DNASample/biom:DNASTRProfile/biom:DNSLocusReferenceID","biom:DNASTRProfileType","biom:DNALocusReferenceID","biom:Integer1to999Type  ","0,unbounded","nc:Person/nc:PersonDNA/nc:DNALocus/nc:DNALocusCategoryText","0,unbounded","",""
"Biometric","dnaLocus","string","*","An image of DNA.","criminal:CaseAugmentation/j:Arrest/j:ArrestSubject/ecf:SubjectAugmentation/biom:Biometric/biom:DNASample/biom:DNASTRProfile","biom:DNASampleType","biom:DNASTRProfile","biom:DNASTRProfileType","0,14","nc:Person/nc:PersonDNA/nc:DNALocus","0,14","",""
"Biometric","fingerprint","","*","A print from a single finger.","criminal:CaseAugmentation/j:Arrest/j:ArrestSubject/ecf:SubjectAugmentation/biom:Biometric/biom:FingerprintImage","biom:BiometricDataType","biom:BiometricClassification","biom:BiometricClassificationType","1,1","nc:Person/nc:PersonFingerprintSet/ecf:FingerprintSet/criminal:Fingerprint/criminal:Fingerprint","0,unbounded","",""
"Biometric","dna","","0..1","A set of DNA associated with a subject.","criminal:CaseAugmentation/j:Arrest/j:ArrestSubject/ecf:SubjectAugmentation/biom:Biometric/biom:DNASample","biom:BiometricDataType","biom:BiometricDetailAbstract, (biom:DNASample)","biom:DNASampleType","0,unbounded","nc:Person/nc:PersonDNA, nc:PersonDNAImage","0,14","",""
"Biometric","fingerprintSet","","0..1","A set of fingerprints.","criminal:CaseAugmentation/j:Arrest/j:ArrestSubject/ecf:SubjectAugmentation/biom:Biometric/biom:BiometricClassification/biom:BiometricClassificationCode","biom:BiometricDataType","biom:BiometricClassification","biom:BiometricClassificationType","1,1","nc:Person/nc:PersonFingerprintSet","0,unbounded","Include biom:BiometricClassificationCategoryCode with value""fingerprints"", ""10-print"" or ""2-print""",""
"Biometric","biometricCapturer","string","0..1","A person who captured a set of biometric images of a subject.","criminal:CaseAugmentation/j:Arrest/j:ArrestSubject/ecf:SubjectAugmentation/biom:Biometri/biom:BiometricImage/biom:BiometricCapturer","biom:BiometricDataType","biom:BiometricCapturer","nc:EntityType","0,1","nc:Person/j:PersonAugmentation/j:PersonPalmPrint/nc:BiometricCapturer","0,1","",""
"Biometric","biometricImage","","","A biometric image of a subject.","criminal:CaseAugmentation/j:Arrest/j:ArrestSubject/ecf:SubjectAugmentation/biom:Biometric/biom:BiometricImage/biom:BiometricClassificationCategoryCode","biom:BiometricDataType","biom:BiometricImageAbstract, (biom:FingerprintImage), (biom:PhysicalFeatureImage), (biom:DNAElectropherogramScreenshotImage)","biom:FingerprintImageType","0,unbounded","nc:Person/j:PersonAugmentation/j:PersonPalmPrint/nc:BiometricImage","1,unbounded","",""
"Biometric","palmPrint","","0..1","A palm print associated with a criminal subject.","criminal:CaseAugmentation/j:Arrest/j:ArrestSubject/ecf:SubjectAugmentation/biom:Biometric/biom:BiometricClassification/biom:BiometricClassificationCode","biom:BiometricClassificationType","biom:BiometricClassificationCategoryCode","biom:BiometricCategoryCodeType","1,1","nc:Person/j:PersonAugmentation/j:PersonPalmPrint","0,1","Include biom:BiometricClassificationCategoryCode with value ""palm""",""
"Biometric","biometricID","id","*","An identifier for a biometric (e.g. fingerprint transaction control number)","criminal:CaseAugmentation/j:Arrest/j:ArrestSubject/ecf:SubjectAugmentation/j:RapSheetTransactionControlIdentification","ecf:SubjectAugmentationType","j:RapSheetTransactionControlIdentification","nc:IdentificationType","0,1","","","",""
"Booking","","","","Details about an administrative step taken after an arrested subject is brought to a police station or detention facility, which involves entry of the subject name and other relevant facts on the police blotter, and which may also include photographing, fingerprinting, and the like.","criminal:CaseAugmentation/j:Arrest/j:Booking","j:ArrestType","","nc:ActivityType","","criminal:CriminalCase/criminal:CaseArrest/j:Booking","0,1","",""
"Booking","bookingAgencyID","id","","An alpha numeric identifier issued by the FBI to identify a specific criminal justice agency. In this instance the Law Enforcement Agency which booked the suspect into jail. (Ex.  AZ0071300, etc.)
","criminal:CaseAugmentation/j:Arrest/j:Booking/j:BookingAgency/nc:OrganizationIdentification","nc:OrganizationType","nc:OrganizationIdentification","nc:IdentificationType","0,1","","","",""
"Booking","bookingAgencyName","string","","The name of the law enforcement agency that booked the suspect into jail.
","criminal:CaseAugmentation/j:Arrest/j:Booking/j:BookingAgency/nc:OrganizationName","nc:OrganizationType","nc:OrganizationName","nc:TextType","0,1","","","",""
"Booking","bookingNumber","id","","Number issued by booking agency at time of the entry of the subject into jail and maintained until release on all charges and sentences.  New number issued for each subsequent jail stay.
","criminal:CaseAugmentation/j:Arrest/j:Booking/j:BookingAgencyRecordIdentification","j:BookingType","j:BookingAgencyRecordIdentification","nc:IdentificationType","0,1","criminal:CriminalCase/criminal:CaseArrest/j:Booking/j:BookingAgencyRecordIdentification","0,1","",""
